,distance
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,3.0
295,6.0
296,5.0
297,5.0
298,7.0
299,7.0
300,7.0
301,7.0
302,7.0
303,7.0
304,7.0
305,7.0
306,13.0
307,12.0
308,11.0
309,9.0
310,8.0
311,9.0
312,10.0
313,11.0
314,11.0
315,11.0
316,12.0
317,11.0
318,11.0
319,9.0
320,9.0
321,9.0
322,9.0
323,10.0
324,11.0
325,12.0
326,11.0
327,9.0
328,8.0
329,9.0
330,10.0
331,10.0
332,13.0
333,13.0
334,12.0
335,10.0
336,9.0
337,9.0
338,11.0
339,12.0
340,13.0
341,12.0
342,11.0
343,9.0
344,9.0
345,9.0
346,9.0
347,10.0
348,10.0
349,10.0
350,10.0
351,10.0
352,10.0
353,10.0
354,10.0
355,10.0
356,10.0
357,10.0
358,10.0
359,10.0
360,10.0
361,10.0
362,10.0
363,10.0
364,10.0
365,10.0
366,10.0
367,10.0
368,10.0
369,10.0
370,10.0
371,10.0
372,10.0
373,10.0
374,10.0
375,10.0
376,10.0
377,10.0
378,10.0
379,10.0
380,10.0
381,10.0
382,10.0
383,10.0
384,10.0
385,10.0
386,10.0
387,10.0
388,10.0
389,10.0
390,10.0
391,10.0
392,10.0
393,10.0
394,10.0
395,10.0
396,10.0
397,10.0
398,10.0
399,10.0
400,10.0
401,10.0
402,10.0
403,10.0
404,10.0
405,10.0
406,10.0
407,10.0
408,10.0
409,10.0
410,10.0
411,10.0
412,10.0
413,10.0
414,10.0
415,10.0
416,10.0
417,10.0
418,10.0
419,10.0
420,10.0
421,10.0
422,10.0
423,10.0
424,10.0
425,10.0
426,10.0
427,10.0
428,10.0
429,10.0
430,10.0
431,10.0
432,10.0
433,10.0
434,10.0
435,10.0
436,10.0
437,10.0
438,10.0
439,11.0
440,10.0
441,9.0
442,10.0
443,10.0
444,11.0
445,10.0
446,10.0
447,10.0
448,10.0
449,10.0
450,10.0
451,10.0
452,10.0
453,10.0
454,10.0
455,10.0
456,10.0
457,10.0
458,10.0
459,10.0
460,10.0
461,10.0
462,10.0
463,10.0
464,10.0
465,10.0
466,10.0
467,10.0
468,10.0
469,10.0
470,10.0
471,10.0
472,10.0
473,10.0
474,10.0
475,10.0
476,10.0
477,10.0
478,10.0
479,10.0
480,10.0
481,10.0
482,10.0
483,10.0
484,10.0
485,10.0
486,10.0
487,10.0
488,10.0
489,10.0
490,10.0
491,10.0
492,10.0
493,10.0
494,11.0
495,12.0
496,12.0
497,10.0
498,10.0
499,10.0
500,10.0
501,11.0
502,11.0
503,12.0
504,12.0
505,13.0
506,11.0
507,10.0
508,10.0
509,12.0
510,13.0
511,14.0
512,14.0
513,14.0
514,14.0
515,13.0
516,13.0
517,14.0
518,12.0
519,12.0
520,11.0
521,11.0
522,11.0
523,11.0
524,11.0
525,11.0
526,11.0
527,11.0
528,11.0
529,11.0
530,11.0
531,11.0
532,11.0
533,11.0
534,11.0
535,11.0
536,11.0
537,11.0
538,11.0
539,11.0
540,11.0
541,11.0
542,11.0
543,11.0
544,11.0
545,11.0
546,11.0
547,11.0
548,11.0
549,11.0
550,11.0
551,11.0
552,11.0
553,11.0
554,11.0
555,11.0
556,11.0
557,11.0
558,11.0
559,11.0
560,11.0
561,11.0
562,11.0
563,11.0
564,11.0
565,11.0
566,11.0
567,11.0
568,11.0
569,11.0
570,11.0
571,11.0
